TANGGAL,T_AVG,RH,RR,FF_AVG,Kejadian Banjir
11-01-2026,"27,4",78,6,2,0
12-01-2026,"26,2",85,"0,4",2,0
13-01-2026,"27,4",82,13,3,0
14-01-2026,"27,6",79,"0,5",3,0
15-01-2026,28,74,"4,4",2,0
16-01-2026,"28,3",78,0,3,0
17-01-2026,"27,6",85,"20,8",2,0
18-01-2026,"26,8",85,"1,2",1,0
19-01-2026,"27,7",84,"4,2",2,0
20-01-2026,"27,4",82,"15,4",2,0
21-01-2026,"27,3",79,8888,2,0
22-01-2026,"27,2",80,"0,1",2,0
23-01-2026,27,80,0,3,0
24-01-2026,"29,3",64,4,3,0
25-01-2026,"28,2",74,0,2,0
26-01-2026,"27,8",80,8888,2,0
27-01-2026,"27,4",81,0,1,0
28-01-2026,"26,8",81,"28,6",2,0
29-01-2026,"28,9",70,"0,2",2,0
30-01-2026,"27,9",77,"0,4",2,0
31-01-2026,"29,1",75,8888,2,0
01-02-2026,"27,7",82,"8,8",2,0
02-02-2026,"27,8",79,2,2,0
03-02-2026,"28,3",77,"18,4",2,0
04-02-2026,"27,6",84,"26,8",2,0
05-02-2026,"27,9",81,"19,8",2,0
06-02-2026,"28,1",80,8888,2,0
07-02-2026,"28,2",80,0,2,0
08-02-2026,"28,6",77,8888,2,0
09-02-2026,"27,6",83,0,2,0
10-02-2026,"27,5",83,"24,8",1,0
11-02-2026,"28,2",82,"0,4",2,0
12-02-2026,"28,5",76,0,2,0
13-02-2026,"28,2",78,"17,8",2,0
14-02-2026,"27,9",81,3,2,0
15-02-2026,"27,4",84,"62,4",1,0
16-02-2026,"27,4",85,7,1,0
17-02-2026,"28,1",83,"26,6",2,0
18-02-2026,28,76,"0,4",2,0
19-02-2026,"28,2",79,0,2,0
20-02-2026,"28,3",74,1,2,0
21-02-2026,"28,2",80,"7,4",2,0
22-02-2026,"27,1",86,0,2,0
23-02-2026,"26,4",86,30,1,0
