desa_rawan,lat_rawan,lon_rawan,shelter,lat_shelter,lon_shelter,jarak_km,waktu_menit,status
Desa Sidareja,-7.480474,108.795257,Balai Desa Sudagaran,-7.4901238,108.8095576,2.592,6.6833,ok_azure
Desa Sidareja,-7.480474,108.795257,Balai Desa Sudagaran,-7.4901238,108.8095576,2.592,6.6833,ok_azure
Desa Gandrungmangu,-7.519169,108.863969,Balai Desa Muktisari,-7.505329682,108.8572533,2.597,5.75,ok_azure
Desa Gandrungmangu,-7.519169,108.863969,Balai Desa Muktisari,-7.505329682,108.8572533,2.597,5.75,ok_azure
Desa Penggalang,-7.653371,109.138309,Balai Desa Wlahar,-7.667846,109.133921,2.771,6.3,ok_azure
Desa Penggalang,-7.653371,109.138309,Balai Desa Wlahar,-7.667846,109.133921,2.771,6.3,ok_azure
Desa Penggalang,-7.653371,109.138309,Balai Desa Wlahar,-7.667846,109.133921,2.771,6.3,ok_azure
Desa Wanareja,-7.333816,108.687107,Balai Desa Sidamulya,-7.350584341,108.6761607,2.766,7.2667,ok_azure
Desa Bantar,-7.352453,108.721116,Balai Desa Bantar,-7.353149095776255,108.70434235257424,2.447,7.85,ok_azure
Desa Cilongkrang,-7.408769,108.715668,Balai Desa Tarisi,-7.39470838816254,108.70133486438638,2.474,3.7667,ok_azure
Desa Bumireja,-7.536534,108.806366,kelurahan Tambakreja,-7.538736939,108.7836077,2.693,3.5,ok_azure
Desa Kaliwungu,-7.548292,108.80998,Balai Desa Bumireja,-7.5377704,108.7994195,2.159,6.2333,ok_azure
Desa Kaliwungu,-7.548292,108.80998,Balai Desa Bumireja,-7.5377704,108.7994195,2.159,6.2333,ok_azure
Desa Kaliwungu,-7.548292,108.80998,Balai Desa Bumireja,-7.5377704,108.7994195,2.159,6.2333,ok_azure
Desa Banjareja,-7.686408,109.374383,Balai Desa Karangsembung,-7.678502548,109.3554419,2.747,5.1833,ok_azure
Desa Banjareja,-7.686408,109.374383,Balai Desa Karangsembung,-7.678502548,109.3554419,2.747,5.1833,ok_azure
Desa Banjareja,-7.686408,109.374383,Balai Desa Karangsembung,-7.678502548,109.3554419,2.747,5.1833,ok_azure
Desa Wlahar,-7.667687,109.13421,Balai Desa Penggalang,-7.653467,109.137016,2.652,6.0833,ok_azure
Desa Wlahar,-7.667687,109.13421,Balai Desa Penggalang,-7.653467,109.137016,2.652,6.0833,ok_azure
Desa Wlahar,-7.667687,109.13421,Balai Desa Penggalang,-7.653467,109.137016,2.652,6.0833,ok_azure
Desa Cimanggu,-7.350939,108.839493,Balai Desa Bantarpanjang,-7.359637040358087,108.85627253527534,2.643,3.75,ok_azure
Desa Gandrungmanis,-7.524044,108.85814,Balai Desa Muktisari,-7.505329682,108.8572533,2.623,5.1833,ok_azure
Desa Gandrungmanis,-7.524044,108.85814,Balai Desa Muktisari,-7.505329682,108.8572533,2.623,5.1833,ok_azure
Desa Gandrungmanis,-7.524044,108.85814,Balai Desa Muktisari,-7.505329682,108.8572533,2.623,5.1833,ok_azure
Desa Gentasari,-7.601644,109.219899,Balai Desa Karangjati,-7.581200895,109.2224442,2.301,3.75,ok_azure
Desa Madura,-7.331412,108.644776,Balai Desa Madusari,-7.309033604290997,108.64718680669638,2.688,7.9,ok_azure
Desa Pengaweran,-7.382458,108.877978,Balai Desa Panimbang,-7.367549798741719,108.86583925009202,5.803,11.5167,ok_azure
Desa Kedungbenda,-7.66758,109.375326,Balai Desa Banjareja,-7.686421459,109.3734922,2.707,4.2167,ok_azure
Desa Tinggarjaya,-7.480452,108.766832,Balai Desa Margasari,-7.46922455,108.7502054,2.811,6.2833,ok_azure
Desa Buntu,-7.589645,109.252029,Balai Desa Mujur Lor,-7.599457594,109.2480218,2.744,4.4167,ok_azure
Desa Buntu,-7.589645,109.252029,Balai Desa Mujur Lor,-7.599457594,109.2480218,2.744,4.4167,ok_azure
Desa Buntu,-7.589645,109.252029,Balai Desa Mujur Lor,-7.599457594,109.2480218,2.744,4.4167,ok_azure
Desa Margasari,-7.469319,108.774928,Balai Desa Gunungreja,-7.479329968,108.7856679,2.068,4.2,ok_azure
Desa Adimulya,-7.334996,108.689403,Balai Desa Sidamulya,-7.350584341,108.6761607,2.753,5.6333,ok_azure
Desa Mentasan,-7.58261,108.958872,Balai Desa Kalijeruk,-7.578984,108.936294,2.764,4.5333,ok_azure
Desa Sudagaran,-7.491794,108.808189,Balai Desa Sidareja,-7.482720383,108.7920794,2.556,6.6833,ok_azure
Desa Sudagaran,-7.491794,108.808189,Balai Desa Sidareja,-7.482720383,108.7920794,2.556,6.6833,ok_azure
Desa Sidasari,-7.384348,108.78069,Balai Desa Kutasari,-7.394689384,108.8031922,2.834,6.6833,ok_azure
Desa Mulyasari,-7.314002,108.773874,Balai Desa Sindangsari,-7.300439235287598,108.76743410896202,2.892,7.3833,ok_azure
Desa Mulyasari,-7.314002,108.773874,Balai Desa Sindangsari,-7.300439235287598,108.76743410896202,2.892,7.3833,ok_azure
Desa Mulyasari,-7.314002,108.773874,Balai Desa Sindangsari,-7.300439235287598,108.76743410896202,2.892,7.3833,ok_azure
Desa Rejodadi,-7.325671,108.798297,Balai Desa Padangsari,-7.328626531601817,108.78025856834626,2.835,7.6833,ok_azure
Desa Rejodadi,-7.325671,108.798297,Balai Desa Padangsari,-7.328626531601817,108.78025856834626,2.835,7.6833,ok_azure
Desa Rejodadi,-7.325671,108.798297,Balai Desa Padangsari,-7.328626531601817,108.78025856834626,2.835,7.6833,ok_azure
Desa Karangtengah,-7.553736,109.218149,Balai Desa Karangasem,-7.569695039,109.208944,3.052,7.3,ok_azure
Desa Karangtengah,-7.553736,109.218149,Balai Desa Karangasem,-7.569695039,109.208944,3.052,7.3,ok_azure
Desa Karangtengah,-7.553736,109.218149,Balai Desa Karangasem,-7.569695039,109.208944,3.052,7.3,ok_azure
Desa Cilopadang,-7.303708,108.790659,Balai Desa Sindangsari,-7.300439235287598,108.76743410896202,2.861,4.8,ok_azure
Desa Tambaksari,-7.4401,108.881896,Balai Desa Cinangsi,-7.461127087,108.8814047,2.868,6.1667,ok_azure
Desa Tambaksari,-7.4401,108.881896,Balai Desa Cinangsi,-7.461127087,108.8814047,2.868,6.1667,ok_azure
Desa Karangrena,-7.606723,109.133039,Balai Desa Karangkemiri,-7.622875,109.130052,2.912,5.8333,ok_azure
Desa Sindangsari,-7.300775,108.767969,Balai Desa Cilopadang,-7.304095476590585,108.7902956932206,2.873,4.9667,ok_azure
Desa Gunungreja,-7.479295,108.786157,Balai Desa Tegalsari,-7.485581773,108.7744421,2.538,5.6,ok_azure
Desa Gunungreja,-7.479295,108.786157,Balai Desa Tegalsari,-7.485581773,108.7744421,2.538,5.6,ok_azure
Desa Gunungreja,-7.479295,108.786157,Balai Desa Tegalsari,-7.485581773,108.7744421,2.538,5.6,ok_azure
Desa Kalijeruk,-7.579115,108.936851,Balai Desa Kawunganten,-7.592701,108.91958,2.864,5.5,ok_azure
Desa Bantarsari,-7.538556,108.876306,Balai Desa Kamulyan,-7.526990212,108.8634969,2.462,6.2667,ok_azure
Desa Bantarsari,-7.538556,108.876306,Balai Desa Kamulyan,-7.526990212,108.8634969,2.462,6.2667,ok_azure
Desa Bantarsari,-7.538556,108.876306,Balai Desa Kamulyan,-7.526990212,108.8634969,2.462,6.2667,ok_azure
Desa Rejodadi,-7.325671,108.798297,Balai Desa Padangjaya,-7.312561715923866,108.78564673693214,2.993,7.0167,ok_azure
Desa Rejodadi,-7.325671,108.798297,Balai Desa Padangjaya,-7.312561715923866,108.78564673693214,2.993,7.0167,ok_azure
Desa Rejodadi,-7.325671,108.798297,Balai Desa Padangjaya,-7.312561715923866,108.78564673693214,2.993,7.0167,ok_azure
Desa Paberasan,-7.588874,109.231656,Balai Desa Gentasari,-7.601690492,109.2195852,3.024,5.8667,ok_azure
Desa Paberasan,-7.588874,109.231656,Balai Desa Gentasari,-7.601690492,109.2195852,3.024,5.8667,ok_azure
Desa Paberasan,-7.588874,109.231656,Balai Desa Gentasari,-7.601690492,109.2195852,3.024,5.8667,ok_azure
Desa Cibalung,-7.320885,108.879411,Balai Desa Bantarmangu,-7.339105124529084,108.8664505797285,2.997,8.4667,ok_azure
Desa Jatisari,-7.514545,108.786467,Balai Desa Bangunreja,-7.50104298,108.7761072,2.917,6.35,ok_azure
Desa Jatisari,-7.514545,108.786467,Balai Desa Bangunreja,-7.50104298,108.7761072,2.917,6.35,ok_azure
Desa Jatisari,-7.514545,108.786467,Balai Desa Bangunreja,-7.50104298,108.7761072,2.917,6.35,ok_azure
Desa Sikampuh,-7.623398,109.197936,Balai Desa Nusajati,-7.597090701,109.1991133,3.228,5.3333,ok_azure
Desa Kaliwungu,-7.548292,108.80998,Balai Desa Cisumur,-7.532618723,108.8210025,2.978,7.4167,ok_azure
Desa Kaliwungu,-7.548292,108.80998,Balai Desa Cisumur,-7.532618723,108.8210025,2.978,7.4167,ok_azure
Desa Pahonjean,-7.324304,108.740084,Balai Desa Mulyadadi,-7.319125511223776,108.75173528074124,2.592,7.8833,ok_azure
Desa Pahonjean,-7.324304,108.740084,Balai Desa Mulyadadi,-7.319125511223776,108.75173528074124,2.592,7.8833,ok_azure
Desa Pahonjean,-7.324304,108.740084,Balai Desa Mulyadadi,-7.319125511223776,108.75173528074124,2.592,7.8833,ok_azure
Desa Tambakreja,-7.538916,108.782982,Balai Desa Bumireja,-7.5377704,108.7994195,2.141,3.45,ok_azure
Desa Bantarsari,-7.538556,108.876306,Balai Desa Bulaksari,-7.523812975,108.8887375,2.899,6.1833,ok_azure
Desa Bantarsari,-7.538556,108.876306,Balai Desa Bulaksari,-7.523812975,108.8887375,2.899,6.1833,ok_azure
Desa Bantarsari,-7.538556,108.876306,Balai Desa Bulaksari,-7.523812975,108.8887375,2.899,6.1833,ok_azure
Desa Karangjati,-7.57744,109.241826,Balai Desa Mujur Lor,-7.599457594,109.2480218,3.181,6.6,ok_azure
Desa Karangjati,-7.57744,109.241826,Balai Desa Mujur Lor,-7.599457594,109.2480218,3.181,6.6,ok_azure
Desa Karangjati,-7.57744,109.241826,Balai Desa Mujur Lor,-7.599457594,109.2480218,3.181,6.6,ok_azure
Desa Bantarmangu,-7.332414,108.894194,Balai Desa Mandala,-7.356992217695421,108.88791346224504,3.122,7.8667,ok_azure
Desa Karangpucung,-7.41075,108.906193,Balai Desa Tayem,-7.397383206,108.8990858,2.062,7.0333,ok_azure
Desa Karangpucung,-7.41075,108.906193,Balai Desa Tayem,-7.397383206,108.8990858,2.062,7.0333,ok_azure
Desa Karangpucung,-7.41075,108.906193,Balai Desa Tayem,-7.397383206,108.8990858,2.062,7.0333,ok_azure
Desa Mujur Lor,-7.599874,109.248844,Balai Desa Paberasan,-7.588606145,109.2306704,3.107,5.7167,ok_azure
Desa Mujur Lor,-7.599874,109.248844,Balai Desa Paberasan,-7.588606145,109.2306704,3.107,5.7167,ok_azure
Desa Mujur Lor,-7.599874,109.248844,Balai Desa Paberasan,-7.588606145,109.2306704,3.107,5.7167,ok_azure
Desa Jengrana,-7.639427,109.063432,Balai Desa Planjan,-7.623498,109.0785,3.125,5.4333,ok_azure
Desa Jengrana,-7.639427,109.063432,Balai Desa Planjan,-7.623498,109.0785,3.125,5.4333,ok_azure
Desa Jengrana,-7.639427,109.063432,Balai Desa Planjan,-7.623498,109.0785,3.125,5.4333,ok_azure
Desa Margasari,-7.469319,108.774928,Balai Desa Tinggarjaya,-7.480595869,108.7669981,3.985,8.5333,ok_azure
Desa Margasari,-7.469319,108.774928,Balai Desa Tinggarjaya,-7.480595869,108.7669981,3.985,8.5333,ok_azure
Desa Margasari,-7.469319,108.774928,Balai Desa Tinggarjaya,-7.480595869,108.7669981,3.985,8.5333,ok_azure
Desa Tambaksari,-7.4401,108.881896,Balai Desa Rungkang,-7.438726424,108.8561115,3.21,11.7833,ok_azure
Desa Paberasan,-7.588874,109.231656,Balai Desa Mujur Lor,-7.599457594,109.2480218,3.251,6.5,ok_azure
Desa Paberasan,-7.588874,109.231656,Balai Desa Mujur Lor,-7.599457594,109.2480218,3.251,6.5,ok_azure
Desa Paberasan,-7.588874,109.231656,Balai Desa Mujur Lor,-7.599457594,109.2480218,3.251,6.5,ok_azure
Desa Mulyasari,-7.314002,108.773874,Balai Desa Padangsari,-7.328626531601817,108.78025856834626,3.308,7.6667,ok_azure
Desa Mulyasari,-7.314002,108.773874,Balai Desa Padangsari,-7.328626531601817,108.78025856834626,3.308,7.6667,ok_azure
Desa Mulyasari,-7.314002,108.773874,Balai Desa Padangsari,-7.328626531601817,108.78025856834626,3.308,7.6667,ok_azure
Desa Dondong,-7.618474,109.067465,Balai Desa Sumingkir,-7.624942,109.049952,3.642,7.85,ok_azure
Desa Kutasari,-7.392746,108.817824,Balai Desa Caruy,-7.375954694,108.8028629,4.433,14.05,ok_azure
Desa Kutasari,-7.392746,108.817824,Balai Desa Caruy,-7.375954694,108.8028629,4.433,14.05,ok_azure
Desa Kutasari,-7.392746,108.817824,Balai Desa Caruy,-7.375954694,108.8028629,4.433,14.05,ok_azure
Desa Caruy,-7.373138,108.812791,Balai Desa Karangreja,-7.355527244545825,108.80268215086484,3.237,9.1167,ok_azure
Desa Caruy,-7.373138,108.812791,Balai Desa Karangreja,-7.355527244545825,108.80268215086484,3.237,9.1167,ok_azure
Desa Caruy,-7.373138,108.812791,Balai Desa Karangreja,-7.355527244545825,108.80268215086484,3.237,9.1167,ok_azure
Desa Ujungmanik,-7.64409,108.951428,Balai Desa Kubangkangkung,-7.620968609,108.9430662,3.381,5.8,ok_azure
Desa Bulaksari,-7.523689,108.888506,Balai Desa Kamulyan,-7.526990212,108.8634969,3.426,6.0333,ok_azure
Desa Bulaksari,-7.523689,108.888506,Balai Desa Kamulyan,-7.526990212,108.8634969,3.426,6.0333,ok_azure
Desa Bulaksari,-7.523689,108.888506,Balai Desa Kamulyan,-7.526990212,108.8634969,3.426,6.0333,ok_azure
Desa Kesugihan Kidul,-7.62259,109.121113,Balai Desa Pesanggrahan,-7.594238,109.114316,3.457,7.25,ok_azure
Desa Kesugihan Kidul,-7.62259,109.121113,Balai Desa Pesanggrahan,-7.594238,109.114316,3.457,7.25,ok_azure
Desa Kesugihan Kidul,-7.62259,109.121113,Balai Desa Pesanggrahan,-7.594238,109.114316,3.457,7.25,ok_azure
Desa Kawunganten Lor,-7.584107,108.922413,Balai Desa Kawunganten,-7.592701,108.91958,1.458,3.6833,ok_azure
Desa Kawunganten Lor,-7.584107,108.922413,Balai Desa Kawunganten,-7.592701,108.91958,1.458,3.6833,ok_azure
Desa Kawunganten Lor,-7.584107,108.922413,Balai Desa Kawunganten,-7.592701,108.91958,1.458,3.6833,ok_azure
Desa Rawajaya,-7.557334,108.892896,Balai Desa Bantarsari,-7.539932226,108.8705564,4.039,9.7167,ok_azure
Desa Cisumur,-7.528578,108.826473,Balai Desa Sidaurip,-7.548642749,108.8378654,3.556,7.9833,ok_azure
Desa Cisumur,-7.528578,108.826473,Balai Desa Sidaurip,-7.548642749,108.8378654,3.556,7.9833,ok_azure
Desa Cisumur,-7.528578,108.826473,Balai Desa Sidaurip,-7.548642749,108.8378654,3.556,7.9833,ok_azure
Desa Bringkeng,-7.635518,108.917016,Balai Desa Bojong,-7.608163551,108.9271265,3.607,5.5667,ok_azure
Desa Sidamukti,-7.609299,108.754052,Balai Desa Patimuan,-7.583574535,108.7608936,3.55,5.7333,ok_azure
Desa Sidamukti,-7.609299,108.754052,Balai Desa Patimuan,-7.583574535,108.7608936,3.55,5.7333,ok_azure
Desa Sidamukti,-7.609299,108.754052,Balai Desa Patimuan,-7.583574535,108.7608936,3.55,5.7333,ok_azure
Desa Tarisi,-7.392666,108.694566,Balai Desa Tarisi,-7.39470838816254,108.70133486438638,3.01,6.3333,ok_azure
Desa Tarisi,-7.392666,108.694566,Balai Desa Tarisi,-7.39470838816254,108.70133486438638,3.01,6.3333,ok_azure
Desa Tarisi,-7.392666,108.694566,Balai Desa Tarisi,-7.39470838816254,108.70133486438638,3.01,6.3333,ok_azure
Desa Cisumur,-7.528578,108.826473,Balai Desa Sidaurip,-7.548704606,108.8385509,3.654,8.3333,ok_azure
Desa Cisumur,-7.528578,108.826473,Balai Desa Sidaurip,-7.548704606,108.8385509,3.654,8.3333,ok_azure
Desa Cisumur,-7.528578,108.826473,Balai Desa Sidaurip,-7.548704606,108.8385509,3.654,8.3333,ok_azure
Desa Karangjati,-7.57744,109.241826,Balai Desa Paberasan,-7.588606145,109.2306704,3.705,7.7333,ok_azure
Desa Karangjati,-7.57744,109.241826,Balai Desa Paberasan,-7.588606145,109.2306704,3.705,7.7333,ok_azure
Desa Karangjati,-7.57744,109.241826,Balai Desa Paberasan,-7.588606145,109.2306704,3.705,7.7333,ok_azure
Desa Karangtengah,-7.553736,109.218149,Balai Desa Sampang,-7.56620612,109.2003484,3.038,7.0667,ok_azure
Desa Cilempuyang,-7.342686,108.834565,Balai Desa Bantarpanjang,-7.359637040358087,108.85627253527534,3.681,5.2167,ok_azure
Desa Bener,-7.269907,108.759242,Balai Desa Sepatnunggal,-7.244079600877812,108.74378220672055,3.723,9.4833,ok_azure
Desa Jengrana,-7.639427,109.063432,Balai Desa Kuripan,-7.651916,109.083396,3.535,7.0667,ok_azure
Desa Jengrana,-7.639427,109.063432,Balai Desa Kuripan,-7.651916,109.083396,3.535,7.0667,ok_azure
Desa Jengrana,-7.639427,109.063432,Balai Desa Kuripan,-7.651916,109.083396,3.535,7.0667,ok_azure
Desa Bingkeng,-7.236414,108.592881,Balai Desa Dayeuhluhur,-7.259731738239488,108.6116974372905,3.865,8.0167,ok_azure
Desa Ujungmanik,-7.64409,108.951428,Balai Desa Babakan,-7.662701,108.932634,4.017,12.5667,ok_azure
Desa Ujungmanik,-7.64409,108.951428,Balai Desa Babakan,-7.662701,108.932634,4.017,12.5667,ok_azure
Desa Ujungmanik,-7.64409,108.951428,Balai Desa Babakan,-7.662701,108.932634,4.017,12.5667,ok_azure
Desa Kesugihan,-7.608235,109.119931,Balai Desa Karangsari,-7.632979,109.135353,3.828,8.2667,ok_azure
Desa Karangtengah,-7.553736,109.218149,Balai Desa Karangjati,-7.581200895,109.2224442,4.033,9.5833,ok_azure
Desa Buntu,-7.589645,109.252029,Balai Desa Mujur,-7.612273016,109.2523055,4.027,6.4167,ok_azure
Desa Buntu,-7.589645,109.252029,Balai Desa Mujur,-7.612273016,109.2523055,4.027,6.4167,ok_azure
Desa Buntu,-7.589645,109.252029,Balai Desa Mujur,-7.612273016,109.2523055,4.027,6.4167,ok_azure
Desa Babakan,-7.66247,108.933569,Balai Desa Ujungmanik,-7.644039491,108.9514281,4.168,12.8833,ok_azure
Desa Babakan,-7.66247,108.933569,Balai Desa Ujungmanik,-7.644039491,108.9514281,4.168,12.8833,ok_azure
Desa Babakan,-7.66247,108.933569,Balai Desa Ujungmanik,-7.644039491,108.9514281,4.168,12.8833,ok_azure
Desa Cisuru,-7.38692,108.701254,Balai Desa Cilongkrang,-7.407004438152763,108.71434982998896,4.063,6.5167,ok_azure
Desa Sidasari,-7.384348,108.78069,Balai Desa Caruy,-7.375954694,108.8028629,4.097,8.2333,ok_azure
Desa Caruy,-7.373138,108.812791,Balai Desa Kutasari,-7.394689384,108.8031922,4.772,12.1,ok_azure
Desa Caruy,-7.373138,108.812791,Balai Desa Kutasari,-7.394689384,108.8031922,4.772,12.1,ok_azure
Desa Caruy,-7.373138,108.812791,Balai Desa Kutasari,-7.394689384,108.8031922,4.772,12.1,ok_azure
Desa Buntu,-7.589645,109.252029,Balai Desa Paberasan,-7.588606145,109.2306704,4.116,6.7167,ok_azure
Desa Serang,-7.446416,108.788571,Balai Desa Cipari,-7.439944017,108.7599498,4.053,7.8,ok_azure
Desa Serang,-7.446416,108.788571,Balai Desa Cipari,-7.439944017,108.7599498,4.053,7.8,ok_azure
Desa Panulisan Barat,-7.302995,108.573576,Balai Desa Panulisan Timur,-7.30256,108.599943,4.145,8.7667,ok_azure
Desa Panulisan Barat,-7.302995,108.573576,Balai Desa Panulisan Timur,-7.30256,108.599943,4.145,8.7667,ok_azure
Desa Panulisan Barat,-7.302995,108.573576,Balai Desa Panulisan Timur,-7.30256,108.599943,4.145,8.7667,ok_azure
Desa Serang,-7.446416,108.788571,Balai Desa Karangreja,-7.41867769710757,108.80219971030536,13.62,26.9667,ok_azure
Desa Serang,-7.446416,108.788571,Balai Desa Karangreja,-7.41867769710757,108.80219971030536,13.62,26.9667,ok_azure
Desa Serang,-7.446416,108.788571,Balai Desa Karangreja,-7.41867769710757,108.80219971030536,13.62,26.9667,ok_azure
Desa Cilibang,-7.578392,109.019556,Balai Desa Sawangan,-7.593587,108.993748,10.125,15.7,ok_azure
Desa Cilibang,-7.578392,109.019556,Balai Desa Sawangan,-7.593587,108.993748,10.125,15.7,ok_azure
Desa Cilibang,-7.578392,109.019556,Balai Desa Sawangan,-7.593587,108.993748,10.125,15.7,ok_azure
Desa Cilongkrang,-7.408769,108.715668,Balai Desa Cisuru,-7.398928326,108.7365499,4.363,6.9667,ok_azure
Desa Karangjati,-7.57744,109.241826,Balai Desa Mujur,-7.612273016,109.2523055,4.464,8.6,ok_azure
Desa Karangjati,-7.57744,109.241826,Balai Desa Mujur,-7.612273016,109.2523055,4.464,8.6,ok_azure
Desa Karangjati,-7.57744,109.241826,Balai Desa Mujur,-7.612273016,109.2523055,4.464,8.6,ok_azure
Desa Mentasan,-7.58261,108.958872,Balai Desa Sawangan,-7.593587,108.993748,4.367,11.2,ok_azure
Desa Bantar,-7.352453,108.721116,Balai Desa Adimulya,-7.332960915849882,108.68843248947638,4.741,10.8333,ok_azure
Desa Mandala,-7.357041,108.888654,Balai Desa Panimbang,-7.367549798741719,108.86583925009202,6.702,15.1333,ok_azure
Desa Bulaksari,-7.523689,108.888506,Balai Desa Gandrungmanis,-7.525009839,108.855699,4.499,8.7,ok_azure
Desa Bulaksari,-7.523689,108.888506,Balai Desa Gandrungmanis,-7.525009839,108.855699,4.499,8.7,ok_azure
Desa Bulaksari,-7.523689,108.888506,Balai Desa Gandrungmanis,-7.525009839,108.855699,4.499,8.7,ok_azure
Desa Pahonjean,-7.324304,108.740084,Balai Desa Cibeunying,-7.2945766910061725,108.74267406439527,4.327,8.3833,ok_azure
Desa Kaliwungu,-7.548292,108.80998,kelurahan Tambakreja,-7.538736939,108.7836077,4.04,8.5,ok_azure
Desa Kaliwungu,-7.548292,108.80998,kelurahan Tambakreja,-7.538736939,108.7836077,4.04,8.5,ok_azure
Desa Kaliwungu,-7.548292,108.80998,kelurahan Tambakreja,-7.538736939,108.7836077,4.04,8.5,ok_azure
Desa Kedawung,-7.617419,109.287715,Balai Desa Pucung Kidul,-7.635810464,109.2713415,4.117,8.1167,ok_azure
Desa Kedawung,-7.617419,109.287715,Balai Desa Pucung Kidul,-7.635810464,109.2713415,4.117,8.1167,ok_azure
Desa Kedawung,-7.617419,109.287715,Balai Desa Pucung Kidul,-7.635810464,109.2713415,4.117,8.1167,ok_azure
Desa Tarisi,-7.392666,108.694566,Balai Desa Cilongkrang,-7.407004438152763,108.71434982998896,3.931,7.9667,ok_azure
Desa Tarisi,-7.392666,108.694566,Balai Desa Cilongkrang,-7.407004438152763,108.71434982998896,3.931,7.9667,ok_azure
Desa Tarisi,-7.392666,108.694566,Balai Desa Cilongkrang,-7.407004438152763,108.71434982998896,3.931,7.9667,ok_azure
Desa Kedawung,-7.617419,109.287715,Balai Desa Sikanco,-7.639537242,109.299082,7.052,11.4667,ok_azure
Desa Kedawung,-7.617419,109.287715,Balai Desa Sikanco,-7.639537242,109.299082,7.052,11.4667,ok_azure
Desa Kedawung,-7.617419,109.287715,Balai Desa Sikanco,-7.639537242,109.299082,7.052,11.4667,ok_azure
Desa Bener,-7.269907,108.759242,Balai Desa Sindangsari,-7.300439235287598,108.76743410896202,4.585,9.9833,ok_azure
Desa Grugu,-7.645244,108.912399,Balai Desa Ujungmanik,-7.644039491,108.9514281,9.76,15.4167,ok_azure
Desa Bingkeng,-7.236414,108.592881,Balai Desa Hanum,-7.22878372400323,108.6200864662171,5.4,12.4667,ok_azure
Desa Bingkeng,-7.236414,108.592881,Balai Desa Hanum,-7.22878372400323,108.6200864662171,5.4,12.4667,ok_azure
Desa Bingkeng,-7.236414,108.592881,Balai Desa Hanum,-7.22878372400323,108.6200864662171,5.4,12.4667,ok_azure
Desa Bringkeng,-7.635518,108.917016,Balai Desa Kubangkangkung,-7.620968609,108.9430662,4.942,7.2833,ok_azure
Desa Rawajaya,-7.557334,108.892896,Balai Desa Bulaksari,-7.523812975,108.8887375,4.888,10.65,ok_azure
Desa Rawajaya,-7.557334,108.892896,Balai Desa Bulaksari,-7.523812975,108.8887375,4.888,10.65,ok_azure
Desa Rawajaya,-7.557334,108.892896,Balai Desa Bulaksari,-7.523812975,108.8887375,4.888,10.65,ok_azure
Desa Cisuru,-7.38692,108.701254,Balai Desa Bantar,-7.353149095776255,108.70434235257424,4.903,7.9167,ok_azure
Desa Brebeg,-7.626715,109.001461,Balai Desa Jeruklegi Kulon,-7.607179,109.01535,5.406,10.7833,ok_azure
Desa Brebeg,-7.626715,109.001461,Balai Desa Sidaurip,-7.607180987983122,108.98216060415469,5.48,10.4167,ok_azure
Desa Brebeg,-7.626715,109.001461,Balai Desa Sidaurip,-7.607180987983122,108.98216060415469,5.48,10.4167,ok_azure
Desa Brebeg,-7.626715,109.001461,Balai Desa Sidaurip,-7.607180987983122,108.98216060415469,5.48,10.4167,ok_azure
Desa Grugu,-7.645244,108.912399,Balai Desa Bojong,-7.608163551,108.9271265,5.045,7.9167,ok_azure
Desa Madura,-7.331412,108.644776,Balai Desa Sidamulya,-7.350584341,108.6761607,6.573,11.15,ok_azure
Desa Madura,-7.331412,108.644776,Balai Desa Sidamulya,-7.350584341,108.6761607,6.573,11.15,ok_azure
Desa Madura,-7.331412,108.644776,Balai Desa Sidamulya,-7.350584341,108.6761607,6.573,11.15,ok_azure
Desa Kutasari,-7.392746,108.817824,Balai Desa Sidasari,-7.384284459,108.7801567,6.319,17.85,ok_azure
Desa Binagun,-7.543184,108.92231,Balai Desa Kawunganten Lor,-7.58543,108.919056,5.204,8.7667,ok_azure
Desa Bantar,-7.352453,108.721116,Balai Desa Wanareja,-7.32853370869163,108.68339457787062,5.748,14.3833,ok_azure
Desa Bantarmangu,-7.332414,108.894194,Balai Desa Surusunda,-7.372539172,108.8984601,5.376,14.0,ok_azure
Desa Babakan,-7.66247,108.933569,Balai Desa Grugu,-7.645197858,108.9126578,5.267,13.3167,ok_azure
Desa Babakan,-7.66247,108.933569,Balai Desa Grugu,-7.645197858,108.9126578,5.267,13.3167,ok_azure
Desa Babakan,-7.66247,108.933569,Balai Desa Grugu,-7.645197858,108.9126578,5.267,13.3167,ok_azure
Desa Kedawung,-7.617419,109.287715,Balai Desa Danasri Lor,-7.639879709,109.3079376,5.325,12.3,ok_azure
Desa Kedawung,-7.617419,109.287715,Balai Desa Danasri Lor,-7.639879709,109.3079376,5.325,12.3,ok_azure
Desa Kedawung,-7.617419,109.287715,Balai Desa Danasri Lor,-7.639879709,109.3079376,5.325,12.3,ok_azure
Desa Cimrutu,-7.619538,108.802522,Balai Desa Sidamukti,-7.609405948,108.7556989,7.274,13.0833,ok_azure
Desa Cimrutu,-7.619538,108.802522,Balai Desa Purwodadi,-7.600792841,108.7623893,6.413,11.0167,ok_azure
Desa Cimrutu,-7.619538,108.802522,Balai Desa Purwodadi,-7.600792841,108.7623893,6.413,11.0167,ok_azure
Desa Cimrutu,-7.619538,108.802522,Balai Desa Purwodadi,-7.600792841,108.7623893,6.413,11.0167,ok_azure
