desa_rawan,lat_rawan,lon_rawan,shelter,lat_shelter,lon_shelter,jarak_km,waktu_menit,status
Desa Tambakreja,-7.538916,108.782982,kelurahan Tambakreja,-7.538736939,108.7836077,0.067,0.1833,ok_azure
Desa Cimanggu,-7.350939,108.839493,Balai Desa Cimanggu,-7.347615384867863,108.83824067084493,1.174,4.6,ok_azure
Desa Tambakreja,-7.538916,108.782982,Balai Desa Tambakreja,-7.538784807,108.7835379,0.059,0.1667,ok_azure
Desa Gandrungmanis,-7.524044,108.85814,Balai Desa Kamulyan,-7.526990212,108.8634969,1.075,2.5667,ok_azure
Desa Gandrungmanis,-7.524044,108.85814,Balai Desa Kamulyan,-7.526990212,108.8634969,1.075,2.5667,ok_azure
Desa Gandrungmanis,-7.524044,108.85814,Balai Desa Kamulyan,-7.526990212,108.8634969,1.075,2.5667,ok_azure
Desa Pesanggrahan,-7.594099,109.115168,Balai Desa Pucung Lor,-7.586622826,109.1134249,1.092,4.1,ok_azure
Desa Wanareja,-7.333816,108.687107,Balai Desa Wanareja,-7.32853370869163,108.68339457787062,1.125,4.0667,ok_azure
Desa Wanareja,-7.333816,108.687107,Balai Desa Wanareja,-7.32853370869163,108.68339457787062,1.125,4.0667,ok_azure
Kelurahan Cilacap,-7.738098,109.014295,Balai Desa Kaliwungu,-7.735575683,109.0175999,0.616,3.1333,ok_azure
Kelurahan Cilacap,-7.738098,109.014295,Balai Desa Kaliwungu,-7.735575683,109.0175999,0.616,3.1333,ok_azure
Desa Karangsembung,-7.679916,109.363203,Balai Desa Karangsembung,-7.678502548,109.3554419,1.125,3.2667,ok_azure
Desa Adireja Kulon,-7.660938,109.16014,Balai Desa Adireja Wetan,-7.663377,109.1669,0.894,1.7,ok_azure
Desa Adireja Kulon,-7.660938,109.16014,Balai Desa Adireja Wetan,-7.663377,109.1669,0.894,1.7,ok_azure
Desa Adireja Kulon,-7.660938,109.16014,Balai Desa Adireja Wetan,-7.663377,109.1669,0.894,1.7,ok_azure
Desa Kawunganten,-7.591934,108.92207,Balai Desa Kawunganten Lor,-7.58543,108.919056,0.945,2.15,ok_azure
