desa_rawan,lat_rawan,lon_rawan,shelter,lat_shelter,lon_shelter,jarak_km_matrix,jarak_km,waktu_menit,jalur_ke,status
Desa Purwasari,-7.384291,108.870808,Balai Desa Pengawaren,-7.38750728,108.8685968,0.63,0.634,1.05,1.0,ok_ors
Desa Sidareja,-7.480474,108.795257,Balai Desa Sidareja,-7.482720383,108.7920794,0.65,0.649,2.6,1.0,ok_ors
Desa Sidareja,-7.480474,108.795257,Balai Desa Sidareja,-7.482720383,108.7920794,0.65,0.651,2.6,2.0,ok_ors
Desa Sidareja,-7.480474,108.795257,Balai Desa Sidareja,-7.482720383,108.7920794,0.65,0.822,3.29,3.0,ok_ors
Desa Adireja Kulon,-7.660938,109.16014,Balai Desa Adipala,-7.660199,109.155491,0.66,0.659,1.24,1.0,ok_ors
Desa Slarang,-7.659267,109.113899,Balai Desa Gombolharjo,-7.663956,109.112655,0.66,0.658,1.3,1.0,ok_ors
Desa Binagun,-7.543184,108.92231,Balai Desa Binangun,-7.543083188,108.918559,0.67,0.665,1.98,1.0,ok_ors
Desa Binagun,-7.543184,108.92231,Balai Desa Binangun,-7.543083188,108.918559,0.67,0.57,2.1,2.0,ok_ors
Desa Binagun,-7.543184,108.92231,Balai Desa Binangun,-7.543083188,108.918559,0.67,0.586,2.17,3.0,ok_ors
Desa Nusajati,-7.596982,109.200002,Balai Desa Ketanggung,-7.602318578,109.1984939,0.68,0.679,1.12,1.0,ok_ors
